"StateFIPS","State","Year","Value","Data Comment","Age Group"
"13","Georgia","2020","Suppressed","","0 TO 4"
"13","Georgia","2020","11.3","","5 TO 9"
"13","Georgia","2020","10.6","","10 TO 14"
"13","Georgia","2020","8.9","","15 TO 17"
"15","Hawaii","2011","9.9","","0 TO 4"
"15","Hawaii","2011","11.7","","5 TO 9"
"15","Hawaii","2011","11.7","","10 TO 14"
"15","Hawaii","2011","11.6","","15 TO 17"
"15","Hawaii","2012","6.5","","0 TO 4"
"15","Hawaii","2012","13.8","","5 TO 9"
"15","Hawaii","2012","10.7","","10 TO 14"
"15","Hawaii","2012","16.0","","15 TO 17"
"15","Hawaii","2013","10.8","","0 TO 4"
"15","Hawaii","2013","12.8","","5 TO 9"
"15","Hawaii","2013","13.6","","10 TO 14"
"15","Hawaii","2013","16.4","","15 TO 17"
"15","Hawaii","2014","14.0","","0 TO 4"
"15","Hawaii","2014","19.5","","5 TO 9"
"15","Hawaii","2014","15.1","","10 TO 14"
"15","Hawaii","2014","18.3","","15 TO 17"
"15","Hawaii","2015","Suppressed","","0 TO 4"
"15","Hawaii","2015","10.1","","5 TO 9"
"15","Hawaii","2015","11.3","","10 TO 14"
"15","Hawaii","2015","13.5","","15 TO 17"
"15","Hawaii","2016","4.2","","0 TO 4"
"15","Hawaii","2016","12.1","","5 TO 9"
"15","Hawaii","2016","12.1","","10 TO 14"
"15","Hawaii","2016","13.6","","15 TO 17"
"15","Hawaii","2017","7.2","","0 TO 4"
"15","Hawaii","2017","8.8","","5 TO 9"
"15","Hawaii","2017","11.9","","10 TO 14"
"15","Hawaii","2017","9.6","","15 TO 17"
"15","Hawaii","2018","5.6","","0 TO 4"
"15","Hawaii","2018","12.8","","5 TO 9"
"15","Hawaii","2018","12.4","","10 TO 14"
"15","Hawaii","2018","9.7","","15 TO 17"
"15","Hawaii","2019","Suppressed","","0 TO 4"
"15","Hawaii","2019","8.7","","5 TO 9"
"15","Hawaii","2019","7.4","","10 TO 14"
"15","Hawaii","2019","12.1","","15 TO 17"
"15","Hawaii","2020","Suppressed","","0 TO 4"
"15","Hawaii","2020","9.4","","5 TO 9"
"15","Hawaii","2020","9.2","","10 TO 14"
"15","Hawaii","2020","Suppressed","","15 TO 17"
"16","Idaho","2011","Data Not Collected","","0 TO 4"
"16","Idaho","2011","Data Not Collected","","5 TO 9"
"16","Idaho","2011","Data Not Collected","","10 TO 14"
"16","Idaho","2011","Data Not Collected","","15 TO 17"
"16","Idaho","2012","Data Not Collected","","0 TO 4"
"16","Idaho","2012","Data Not Collected","","5 TO 9"
"16","Idaho","2012","Data Not Collected","","10 TO 14"
"16","Idaho","2012","Data Not Collected","","15 TO 17"
"16","Idaho","2013","Data Not Collected","","0 TO 4"
"16","Idaho","2013","Data Not Collected","","5 TO 9"
"16","Idaho","2013","Data Not Collected","","10 TO 14"
"16","Idaho","2013","Data Not Collected","","15 TO 17"
"16","Idaho","2014","Data Not Collected","","0 TO 4"
"16","Idaho","2014","Data Not Collected","","5 TO 9"
"16","Idaho","2014","Data Not Collected","","10 TO 14"
"16","Idaho","2014","Data Not Collected","","15 TO 17"
"16","Idaho","2015","Data Not Collected","","0 TO 4"
"16","Idaho","2015","Data Not Collected","","5 TO 9"
"16","Idaho","2015","Data Not Collected","","10 TO 14"
"16","Idaho","2015","Data Not Collected","","15 TO 17"
"16","Idaho","2016","Data Not Collected","","0 TO 4"
"16","Idaho","2016","Data Not Collected","","5 TO 9"
"16","Idaho","2016","Data Not Collected","","10 TO 14"
"16","Idaho","2016","Data Not Collected","","15 TO 17"
"16","Idaho","2017","Data Not Collected","","0 TO 4"
"16","Idaho","2017","Data Not Collected","","5 TO 9"
"16","Idaho","2017","Data Not Collected","","10 TO 14"
"16","Idaho","2017","Data Not Collected","","15 TO 17"
"16","Idaho","2018","Data Not Collected","","0 TO 4"
"16","Idaho","2018","Data Not Collected","","5 TO 9"
"16","Idaho","2018","Data Not Collected","","10 TO 14"
"16","Idaho","2018","Data Not Collected","","15 TO 17"
"16","Idaho","2019","Data Not Collected","","0 TO 4"
"16","Idaho","2019","Data Not Collected","","5 TO 9"
"16","Idaho","2019","Data Not Collected","","10 TO 14"
"16","Idaho","2019","Data Not Collected","","15 TO 17"
"16","Idaho","2020","Data Not Collected","","0 TO 4"
"16","Idaho","2020","Data Not Collected","","5 TO 9"
"16","Idaho","2020","Data Not Collected","","10 TO 14"
"16","Idaho","2020","Data Not Collected","","15 TO 17"
"17","Illinois","2011","Data Not Collected","","0 TO 4"
